split,filename,path
train,engaged_1875.txt,datasets\master_combined_dataset\labels\train\engaged_1875.txt
train,engaged_1876.txt,datasets\master_combined_dataset\labels\train\engaged_1876.txt
train,engaged_1877.txt,datasets\master_combined_dataset\labels\train\engaged_1877.txt
train,engaged_1930.txt,datasets\master_combined_dataset\labels\train\engaged_1930.txt
train,engaged_1931.txt,datasets\master_combined_dataset\labels\train\engaged_1931.txt
train,engaged_1932.txt,datasets\master_combined_dataset\labels\train\engaged_1932.txt
train,engaged_1958.txt,datasets\master_combined_dataset\labels\train\engaged_1958.txt
train,engaged_1959.txt,datasets\master_combined_dataset\labels\train\engaged_1959.txt
train,engaged_1968.txt,datasets\master_combined_dataset\labels\train\engaged_1968.txt
train,engaged_1969.txt,datasets\master_combined_dataset\labels\train\engaged_1969.txt
train,engaged_1970.txt,datasets\master_combined_dataset\labels\train\engaged_1970.txt
train,engaged_1971.txt,datasets\master_combined_dataset\labels\train\engaged_1971.txt
train,engaged_1978.txt,datasets\master_combined_dataset\labels\train\engaged_1978.txt
train,engaged_1980.txt,datasets\master_combined_dataset\labels\train\engaged_1980.txt
train,engaged_1981.txt,datasets\master_combined_dataset\labels\train\engaged_1981.txt
train,engaged_1991.txt,datasets\master_combined_dataset\labels\train\engaged_1991.txt
train,engaged_2047.txt,datasets\master_combined_dataset\labels\train\engaged_2047.txt
train,engaged_2071.txt,datasets\master_combined_dataset\labels\train\engaged_2071.txt
train,engaged_2072.txt,datasets\master_combined_dataset\labels\train\engaged_2072.txt
train,engaged_2082.txt,datasets\master_combined_dataset\labels\train\engaged_2082.txt
train,engaged_2083.txt,datasets\master_combined_dataset\labels\train\engaged_2083.txt
train,engaged_2084.txt,datasets\master_combined_dataset\labels\train\engaged_2084.txt
train,engaged_2090.txt,datasets\master_combined_dataset\labels\train\engaged_2090.txt
train,engaged_2091.txt,datasets\master_combined_dataset\labels\train\engaged_2091.txt
train,engaged_2104.txt,datasets\master_combined_dataset\labels\train\engaged_2104.txt
train,engaged_2109.txt,datasets\master_combined_dataset\labels\train\engaged_2109.txt
train,engaged_2110.txt,datasets\master_combined_dataset\labels\train\engaged_2110.txt
train,frustrated_9326.txt,datasets\master_combined_dataset\labels\train\frustrated_9326.txt
train,frustrated_9332.txt,datasets\master_combined_dataset\labels\train\frustrated_9332.txt
train,frustrated_9339.txt,datasets\master_combined_dataset\labels\train\frustrated_9339.txt
train,frustrated_9344.txt,datasets\master_combined_dataset\labels\train\frustrated_9344.txt
train,frustrated_9351.txt,datasets\master_combined_dataset\labels\train\frustrated_9351.txt
train,frustrated_9358.txt,datasets\master_combined_dataset\labels\train\frustrated_9358.txt
train,frustrated_9379.txt,datasets\master_combined_dataset\labels\train\frustrated_9379.txt
train,frustrated_9393.txt,datasets\master_combined_dataset\labels\train\frustrated_9393.txt
train,frustrated_9398.txt,datasets\master_combined_dataset\labels\train\frustrated_9398.txt
train,frustrated_9787.txt,datasets\master_combined_dataset\labels\train\frustrated_9787.txt
train,frustrated_9791.txt,datasets\master_combined_dataset\labels\train\frustrated_9791.txt
