original_filename,new_filename,subject_id,class_id,class_name,original_subset,original_image_path,original_label_path,sha256,image_extension,file_size,width,height,bbox_count
bored_2196.jpg,S01_bored_0001.jpg,S01,2,bored,train,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\images\train\bored_2196.jpg,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\labels\train\bored_2196.txt,196b1df803244ee9737c995f89ede8f0caaccebd9263e603c5f7b2d45ad13ac2,.jpg,67939,640,480,1
bored_2288.jpg,S01_bored_0002.jpg,S01,2,bored,train,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\images\train\bored_2288.jpg,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\labels\train\bored_2288.txt,d2c276cfdce673049ed488ff13f6bc8fd503a02621c3648bb94349b421a010f3,.jpg,67906,640,480,1
bored_2371.jpg,S01_bored_0003.jpg,S01,2,bored,train,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\images\train\bored_2371.jpg,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\labels\train\bored_2371.txt,21eda8c89bda44dd923ade8255b0857cf58671110b1ce2155b263c03a7ce24d9,.jpg,66968,640,480,1
bored_2459.jpg,S01_bored_0004.jpg,S01,2,bored,train,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\images\train\bored_2459.jpg,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\labels\train\bored_2459.txt,be2bd1958bd3a4ed8e1dfd4f25fbfb326fb43eb6a2bbd81ca6e78882c4c55939,.jpg,67139,640,480,1
bored_4708.jpg,S01_bored_0005.jpg,S01,2,bored,test,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\images\test\bored_4708.jpg,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\labels\test\bored_4708.txt,29d06a313fcf4acdedbe1cd9265bc1f3a073403370bfbc479a6e65163b433ce2,.jpg,66046,640,480,1
bored_4880.jpg,S01_bored_0006.jpg,S01,2,bored,train,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\images\train\bored_4880.jpg,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\labels\train\bored_4880.txt,6b4f973f024dd75853b15b588dead37296909bf95976929adf1a54c88a4f6360,.jpg,65723,640,480,1
bored_5123.jpg,S01_bored_0007.jpg,S01,2,bored,train,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\images\train\bored_5123.jpg,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\labels\train\bored_5123.txt,5e3aa0ea9ebf1bfc36542c3c314f446c38469ebcc91555ede726778803c0a0fe,.jpg,69505,640,480,1
bored_5166.jpg,S01_bored_0008.jpg,S01,2,bored,train,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\images\train\bored_5166.jpg,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\labels\train\bored_5166.txt,3744108be913c5cbce0ee902bb1c94e599062b551f7bcdf244359c7b06dbd387,.jpg,69316,640,480,1
bored_5169.jpg,S01_bored_0009.jpg,S01,2,bored,train,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\images\train\bored_5169.jpg,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\labels\train\bored_5169.txt,1cd72988a0d3d4e770e1a83eb413cb105ae8ed489fab97598887c1a0f72d8586,.jpg,67774,640,480,1
bored_5171.jpg,S01_bored_0010.jpg,S01,2,bored,train,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\images\train\bored_5171.jpg,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\labels\train\bored_5171.txt,b9c40e985a86915216aaa7abf81f7cffe661662af326620000b5b52b97b6c7ec,.jpg,69265,640,480,1
bored_5177.jpg,S01_bored_0011.jpg,S01,2,bored,train,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\images\train\bored_5177.jpg,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\labels\train\bored_5177.txt,47928e0dbd6201a9ebaddb912da53c1852054e085bd5df95112c19f65aa7a177,.jpg,69182,640,480,1
bored_5182.jpg,S01_bored_0012.jpg,S01,2,bored,train,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\images\train\bored_5182.jpg,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\labels\train\bored_5182.txt,e14c1d5dc7b5eb33faa0389e6542cc731caec404878ee3e088c2fbce4f23f6f8,.jpg,69530,640,480,1
bored_5188.jpg,S01_bored_0013.jpg,S01,2,bored,train,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\images\train\bored_5188.jpg,D:\varell\college\tugas\semester 7\projek skripsi1\skripsi_yolov13_engagement\datasets\master_combined_dataset\labels\train\bored_5188.txt,a186071fcbee902f6ba82d534d190f27d7a91de3eb797125c44c6e40ccfa6dda,.jpg,69496,640,480,1
