filename,true_class,yolo_prediction,yolo_correct,yolo_conf,yolo_bbox,knn_gt_prediction,knn_gt_correct,hybrid_prediction,hybrid_correct,comparison_category
bigdata_bored_engaged_maguru_36_1774443973512_000_jpg.rf.ac77d22247d09a30982a73196c49e8e4.jpg,bored,frustrated,False,0.8928865194320679,"150.3,12.2,477.8,464.1",engaged,False,engaged,False,all_wrong
bigdata_bored_engaged_maguru_36_1774443973512_001_jpg.rf.2697106490841676abe33cfd73fb5fd5.jpg,bored,frustrated,False,0.8425104022026062,"152.3,11.3,483.3,467.1",engaged,False,engaged,False,all_wrong
bigdata_bored_engaged_maguru_36_1774443973512_002_jpg.rf.53ad0b98be5bed001031d5930a46fad5.jpg,bored,frustrated,False,0.7264789342880249,"155.8,13.9,480.1,468.0",engaged,False,engaged,False,all_wrong
bigdata_bored_engaged_maguru_36_1774443973512_003_jpg.rf.2407480611bec03520e00b7838af20f7.jpg,bored,frustrated,False,0.6326026320457458,"151.4,11.8,483.4,462.4",engaged,False,engaged,False,all_wrong
bigdata_bored_engaged_maguru_36_1774443973512_004_jpg.rf.6e3b66f8efa7f419ca072cafb5798405.jpg,bored,frustrated,False,0.7821967601776123,"155.2,10.6,483.8,464.4",engaged,False,engaged,False,all_wrong
bigdata_bored_engaged_maguru_36_1774443974067_005_jpg.rf.0b99ba9261e096a248387cf5fe7637a0.jpg,bored,frustrated,False,0.8112789392471313,"154.3,13.3,478.5,467.4",engaged,False,engaged,False,all_wrong
bigdata_bored_engaged_maguru_36_1774443974067_006_jpg.rf.cb317dfc7336732842d3a113fc2bc20d.jpg,bored,bored,True,0.5559374690055847,"150.9,11.6,488.4,472.2",engaged,False,engaged,False,knn_and_hybrid_wrong
bigdata_bored_engaged_maguru_36_1774443974068_007_jpg.rf.2e6486f21ebdfc3c7dc2ae0bca9c0d3a.jpg,bored,frustrated,False,0.7805399298667908,"155.2,14.9,480.8,462.4",engaged,False,engaged,False,all_wrong
bigdata_bored_engaged_maguru_36_1774443974068_008_jpg.rf.2da16c57d686bdd83a41943dc2c2a363.jpg,bored,frustrated,False,0.7818606495857239,"154.6,16.2,479.4,467.5",engaged,False,engaged,False,all_wrong
bigdata_bored_engaged_maguru_36_1774443974068_009_jpg.rf.368a1832ada5ed214ff140c036bac64f.jpg,bored,bored,True,0.447274774312973,"150.4,13.2,488.2,470.2",engaged,False,engaged,False,knn_and_hybrid_wrong
