exact_cluster_id,sha256,filename,source,class_name,orig_split
1,1edc46130ab6392ec51e1f81eb4121c2f4005ce3cfc1c9b59d3b4009e606e42f,engaged_1377.jpg,hard_samples,engaged,train
1,1edc46130ab6392ec51e1f81eb4121c2f4005ce3cfc1c9b59d3b4009e606e42f,engaged_1376.jpg,hard_samples,engaged,val
2,23af90972186e096f1eb240b65b4a2a9f08179dd9a6eab0f758ce0575e23ae63,engaged_1379.jpg,hard_samples,engaged,train
2,23af90972186e096f1eb240b65b4a2a9f08179dd9a6eab0f758ce0575e23ae63,engaged_1378.jpg,hard_samples,engaged,test
3,0b215a0a7a705fe969ebf101dc3aef67fbd814702ee6fa40c7fbaa33e8cfd530,engaged_1388.jpg,hard_samples,engaged,train
3,0b215a0a7a705fe969ebf101dc3aef67fbd814702ee6fa40c7fbaa33e8cfd530,engaged_1389.jpg,hard_samples,engaged,train
4,8f3213f32e228767600aeb6b5d785f0e660f7edfd413579beccd091f85394402,engaged_1390.jpg,hard_samples,engaged,train
4,8f3213f32e228767600aeb6b5d785f0e660f7edfd413579beccd091f85394402,engaged_1391.jpg,hard_samples,engaged,train
5,9dd04680bdce856e5f31c0c9df039583fce16a04f9655f7c3f842d254ae76bf9,engaged_1406.jpg,hard_samples,engaged,train
5,9dd04680bdce856e5f31c0c9df039583fce16a04f9655f7c3f842d254ae76bf9,engaged_1405.jpg,hard_samples,engaged,val
6,bf3bba1f34363b43f9435ea330b3f87f8f7fb2688d74c4e15bef08acca897c91,engaged_1803.jpg,hard_samples,engaged,train
6,bf3bba1f34363b43f9435ea330b3f87f8f7fb2688d74c4e15bef08acca897c91,engaged_1804.jpg,hard_samples,engaged,train
7,2420952cc7441d614c76d7ce4be8d845ebc21171111c6491432e079e493c1cd1,engaged_1807.jpg,hard_samples,engaged,train
7,2420952cc7441d614c76d7ce4be8d845ebc21171111c6491432e079e493c1cd1,engaged_1806.jpg,hard_samples,engaged,test
8,bbd20bc4272842938c00e6ca1f781f69b354bbe258673f84b4fcab899f27e3c1,engaged_1809.jpg,hard_samples,engaged,train
8,bbd20bc4272842938c00e6ca1f781f69b354bbe258673f84b4fcab899f27e3c1,engaged_1810.jpg,hard_samples,engaged,train
9,2c399bf11721f17fb79ddeae53ee5e6b1ecfc9c01a40a8b99e8d394103f62480,engaged_1852.jpg,hard_samples,engaged,train
9,2c399bf11721f17fb79ddeae53ee5e6b1ecfc9c01a40a8b99e8d394103f62480,engaged_1853.jpg,hard_samples,engaged,train
10,fba4082eeb894c47300f60963bcbeb2d083ba2640cf7ce811aa7ac22edae271c,engaged_1866.jpg,hard_samples,engaged,train
10,fba4082eeb894c47300f60963bcbeb2d083ba2640cf7ce811aa7ac22edae271c,engaged_1867.jpg,hard_samples,engaged,val
11,f064b4b39f89b6f1e39326c59a750cee10775ca7026187508faf4e1f8905fc80,engaged_1924.jpg,hard_samples,engaged,train
11,f064b4b39f89b6f1e39326c59a750cee10775ca7026187508faf4e1f8905fc80,engaged_1925.jpg,hard_samples,engaged,test
12,7d0ffcc998b224adec024d594732b9471ca6398a23552903234d9dbf6e63cada,engaged_1983.jpg,hard_samples,engaged,train
12,7d0ffcc998b224adec024d594732b9471ca6398a23552903234d9dbf6e63cada,engaged_1982.jpg,hard_samples,engaged,test
13,1a16dc3303e2c42b3f350e6b95c5538e7a78a5b454ade1ddb33389dfcad94810,engaged_2046.jpg,hard_samples,engaged,train
13,1a16dc3303e2c42b3f350e6b95c5538e7a78a5b454ade1ddb33389dfcad94810,engaged_2045.jpg,hard_samples,engaged,val
14,9132caf34769d276147be32f14196437def0dde83cea1656f9ddeeadabd81593,engaged_2049.jpg,hard_samples,engaged,train
14,9132caf34769d276147be32f14196437def0dde83cea1656f9ddeeadabd81593,engaged_2048.jpg,hard_samples,engaged,test
15,8b02601b3fa578f75f3334c38c9b2f70220686c3157e910ecfb38ca116996060,engaged_2075.jpg,hard_samples,engaged,train
15,8b02601b3fa578f75f3334c38c9b2f70220686c3157e910ecfb38ca116996060,engaged_2076.jpg,hard_samples,engaged,train
16,44898b604f103e436b65b11a9bebe285ac19d26f3d431e37db9349cb34883a9c,engaged_2097.jpg,hard_samples,engaged,train
16,44898b604f103e436b65b11a9bebe285ac19d26f3d431e37db9349cb34883a9c,engaged_2098.jpg,hard_samples,engaged,train
17,cd63c82ff2ea7d8ab44afa00760700c064fce0080bf883da9397bb20fd1f79a0,engaged_2107.jpg,hard_samples,engaged,train
17,cd63c82ff2ea7d8ab44afa00760700c064fce0080bf883da9397bb20fd1f79a0,engaged_2106.jpg,hard_samples,engaged,test
18,296883ed824073481b2d757b5d91e1718c84d011d5d12d1a694d5af81565e354,engaged_2118.jpg,hard_samples,engaged,train
18,296883ed824073481b2d757b5d91e1718c84d011d5d12d1a694d5af81565e354,engaged_2119.jpg,hard_samples,engaged,train
19,065992ea5e86d913485a96f2745c5d91f76f22f93e8dd4aba6daa9aa5cc1846c,engaged_2126.jpg,hard_samples,engaged,train
